id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,knownName,placeOfBirth,secondNationality,secondNationalityId
3bxz0cn0chwqvs1114ectrrsa,Frederik Emil,Hedegaard Heiselberg,Frederik,Heiselberg,Male,F. Heiselberg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2003-02-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,85.0,left,10.0,2023-07-21Z,2024-06-30Z,active,no,NaN,Lyne,NaN,NaN
436ydggem13x5kamueivijmdw,Oliver,Bjerregaard,NaN,NaN,Male,O. Bjerregaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2006-02-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,31.0,2024-03-01Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
4bkqvwlmbwul0s8lbbq6mifp,Søren,Reese,Søren,Reese,Male,S. Reese,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-07-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,71.0,left,20.0,2023-07-31Z,2024-09-09Z,active,no,NaN,Ingstrup,NaN,NaN
4i0jiisff5k1efcgf27skpqfo,Frederik,Roslyng Christiansen,Frederik,Roslyng,Male,F. Roslyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-12-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,34.0,2023-05-25Z,NaN,active,yes,NaN,NaN,NaN,NaN
4m3slt6iikaxklqd12i719rl5,Moses,Opondo,Moses,Opondo,Male,M. Opondo,Uganda,1j6yonplolalz6goyopv7xd1k,Midfielder,player,1997-10-28,Uganda,1j6yonplolalz6goyopv7xd1k,174.0,72.0,right,6.0,2022-07-01Z,2024-09-03Z,active,no,NaN,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i
4mxciw9jsj9l437fd7bv78p91,Jakob,Svarrer Ankersen,Jakob,Ankersen,Male,J. Ankersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1990-09-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,70.0,right,7.0,2023-07-10Z,2024-09-02Z,active,no,NaN,Esbjerg,NaN,NaN
4u8nj3oxx8lfxvjnb383baodl,Jean Carlos,Borges,Jean Carlos,de Brito,Male,Jean Carlos,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,1995-06-09,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,173.0,65.0,left,36.0,2023-07-21Z,2023-09-25Z,active,no,Jean Carlos,Goiânia,NaN,NaN
5bhxlryh066pxnogizbuh67tg,Lukas,Wagner,Lukas,Wagner,Male,L. Wagner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-11-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,NaN,right,25.0,2021-05-01Z,2024-01-30Z,active,no,NaN,NaN,NaN,NaN
5ccuvrs6aauvbah12idx0bor8,Muhammed,Jallow,NaN,NaN,Male,M. Jallow,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,2005-02-16,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,NaN,NaN,NaN,24.0,2023-08-01Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN
5oesz1ge01l4ay7llja4a3alm,Rogers,Mugisha,Rogers,Mugisha,Male,R. Mugisha,Uganda,1j6yonplolalz6goyopv7xd1k,Attacker,player,2003-06-06,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,NaN,98.0,2024-01-18Z,2024-08-27Z,active,no,NaN,NaN,NaN,NaN
61vr9xr91fr4g6ayzga5vn9w5,Alexander,Ludwig,Alexander,Ludwig,Male,A. Ludwig,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-06-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,85.0,left,33.0,2019-08-14Z,NaN,active,yes,NaN,København,NaN,NaN
630daj1ef34rczbhng0eoncvd,Malte,Kiilerich Hansen,Malte,Kiilerich,Male,M. Kiilerich,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1995-10-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,82.0,right,4.0,2019-07-01Z,2023-09-01Z,active,no,NaN,København,NaN,NaN
6xisosaqrokplph1s2rhrui38,Sory,Traoré,Sory,Traore,Male,S. Traoré,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,2005-03-13,Guinea,4i9sg55wigitrfx7290f59ceo,NaN,NaN,NaN,NaN,2024-01-29Z,NaN,active,yes,NaN,NaN,NaN,NaN
7353ysa16qgg30b9z5qiagys4,Alagie,Saine,Alagie,Saine,Male,A. Saine,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,2003-01-20,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,186.0,NaN,right,28.0,2023-01-19Z,NaN,active,yes,NaN,NaN,NaN,NaN
7dwudio3wx6xoa2g0by42wf10,Anton,Karimi Mandrup,NaN,NaN,Male,A. Mandrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2008-02-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,24.0,2024-05-09Z,2024-06-30Z,active,no,NaN,NaN,Iran,e53g9hr2d3kasm34uumbg8r4
7odg3dte6eh3uuv1cjnd3oefo,Andreas,Kampp Kiilerich Hermansen,Andreas,Hermansen,Male,A. Hermansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-05-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,40.0,2022-10-15Z,2025-03-14Z,active,no,NaN,NaN,NaN,NaN
7pbzgnyig3427nvsukz1bqq6s,Frederik,Vestergaard Kristensen,NaN,NaN,Male,F. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-02-12,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,right,18.0,2023-07-01Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
7x5op2llscnltkn0pkshbwlxw,Mads,Lyng,Mads,Lyng,Male,M. Lyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,2020-12-12Z,2023-07-22Z,active,no,NaN,NaN,NaN,NaN
8lwk0z8fo8baciw394qqzew2d,Joakim,Persson,Joakim,Persson,Male,J. Persson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,coach,1975-04-03,Sweden,1z6l2c33w2kyz9rdefs1d68nb,180.0,76.0,NaN,NaN,2023-06-28Z,2024-03-13Z,active,no,NaN,NaN,NaN,NaN
8uhv14rin2znrr0wqgvcc2f2t,Matej,Delač,Matej,Delac,Male,M. Delač,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1992-08-20,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,190.0,80.0,right,1.0,2018-07-01Z,NaN,active,yes,NaN,Gornji Vakuf,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer
9ik2uhlguua62ftde1gbv1dlg,Oscar,Karimi Mandrup,NaN,NaN,Male,O. Mandrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2008-02-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,21.0,2024-04-01Z,2024-06-30Z,active,no,NaN,NaN,Iran,e53g9hr2d3kasm34uumbg8r4
9p9cd8xw4fz5mihxm69exb7ys,Omar,Jarju,NaN,NaN,Male,O. Jarju,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,2005-10-18,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,NaN,NaN,NaN,NaN,2024-01-27Z,NaN,active,yes,NaN,NaN,NaN,NaN
9tdl50o579ut0oj2eec0dprtg,Angelo Luca,Nehme,Angelo,Nehmé,Male,A. Nehme,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-01-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,165.0,NaN,both,22.0,2021-05-23Z,2024-09-02Z,active,no,NaN,NaN,NaN,NaN
9yiz575rldkwu7icgqwk1qmdx,Anders,Kvindebjerg Jacobsen,Anders,Jacobsen,Male,A. Jacobsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1989-10-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,77.0,right,9.0,2021-09-11Z,2024-01-15Z,active,no,NaN,Odense,NaN,NaN
a5ixaq4f9h2eol29wyp7ncb2s,Gabriel,Kehinde Victor,Gabriel,Kehinde,Male,G. Kehinde,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2003-07-28,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,23.0,2023-08-29Z,2024-01-30Z,active,no,NaN,NaN,NaN,NaN
aomjkj5s52jkzgk3ljsz0osiy,Emanuel,Perez,Emanuel,Perez,Male,E. Perez,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-02-19,USA,7hr2f89v44y65dyu9k92vprwn,183.0,73.0,NaN,3.0,2024-01-04Z,2024-08-08Z,active,no,Emanuel Perez,Garner,Mexico,5trdr3jf42i20zj1hnkvcytr6
b9g3gwxlao9u6y4elz1sdukmh,Elijah Henry,Just,Elijah,Just,Male,E. Just,New Zealand,wcq2y28a27syx5do1k2i2nj8,Midfielder,player,2000-05-01,New Zealand,wcq2y28a27syx5do1k2i2nj8,174.0,68.0,right,27.0,2022-08-01Z,2024-08-21Z,active,no,NaN,Palmerston North,NaN,NaN
c1p51x3fg0dgss14z9vozfqc4,Anton Noah Christian,Ekeroth,Anton,Ekeroth,Male,A. Ekeroth,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2001-09-16,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,12.0,2023-08-16Z,2024-08-05Z,active,no,NaN,NaN,NaN,NaN
cphvg2nexeks2vwd2ezb4zuok,Odilon Bryan,Me Atowoula Kouassi,Odilon,Kouassi,Male,O. Kouassi,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2005-10-13,Côte d'Ivoire,tin6kf561ywonqan0mettr98,187.0,NaN,NaN,NaN,2024-01-29Z,NaN,active,yes,NaN,NaN,NaN,NaN
cyast97jr969kqwdltszg1p0p,Marcus,Bobjerg Jakobsen,Marcus,Bobjerg,Male,M. Bobjerg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1998-01-26,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,76.0,right,30.0,2021-07-01Z,2024-06-14Z,active,no,NaN,NaN,NaN,NaN
dsfbfzwy3c06mu50ee89qrbsa,Marinus Frederik,Løvgren Larsen,Marinus,Larsen,Male,M. Larsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-12-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,169.0,63.0,right,19.0,2023-08-07Z,2025-03-04Z,active,no,NaN,NaN,NaN,NaN
duahzgqspyuy2gu31u3s8ky96,Mikkel,Møller Lassen,Mikkel,Lassen,Male,M. Lassen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-06-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,74.0,right,17.0,2024-01-01Z,2024-07-08Z,active,no,NaN,NaN,NaN,NaN
e0q7vplzzxb23i607ztmnm5lh,Lubambo Sailas,Musonda,Lubambo,Musonda,Male,L. Musonda,Zambia,2dlu3zrfid7nl6ppmb04hjgot,Defender,player,1995-03-01,Zambia,2dlu3zrfid7nl6ppmb04hjgot,171.0,75.0,both,NaN,2021-08-16Z,2023-08-09Z,active,no,NaN,Lusaka,NaN,NaN
e2157naqwp1qdsgaxre307cb8,Hjalte,Toftegaard,Hjalte,Toftegaard,Male,H. Toftegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-06-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,32.0,2023-05-06Z,2025-06-16Z,active,no,NaN,NaN,NaN,NaN
emi8qy4aaxle4m9n9e32d7wno,Lasse,Risager Kristensen,NaN,NaN,Male,L. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-08-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,26.0,2024-03-01Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
eso2tbbpnxu9qvx6zy07m5jx0,Julius,Madsen,NaN,NaN,Male,J. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-08-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,14.0,2024-01-03Z,NaN,active,yes,NaN,Næstved,NaN,NaN
f5hf8nozzscj5ayxqueo68nvt,Samson,Iyede Onomigho,Samson,Iyede,Male,S. Iyede,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1998-01-28,Nigeria,63pvdwrsiq5b07mzi8igqei9p,181.0,78.0,right,26.0,2022-07-01Z,2023-07-25Z,active,no,NaN,Orogun,NaN,NaN
s8c0oxnoqt6zi7pi88rwawvd,Jacob,Buus Jacobsen,Jacob,Buus,Male,J. Buus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-03-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,177.0,67.0,NaN,15.0,2023-01-23Z,2024-01-23Z,active,no,NaN,Odense,NaN,NaN
14r1c22voyj02dx8bni4eketw,André Micael,Álvarez Pérez,André,Pérez,Male,A. Pérez,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2005-03-23,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,24.0,2024-02-01Z,2024-07-10Z,active,no,NaN,NaN,Chile,32tb8d7824xg4i0ybxzssczu0
1arzd8hqj73byhduozscqz5uy,Mathias,Jørgensen,Mathias,Jørgensen,Male,M. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-09-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,79.0,right,30.0,2024-02-01Z,NaN,active,yes,Mathias Jørgensen,Hundested,NaN,NaN
1dvhwhz4n5f9cf4ts58rfu21,Nils Daniel Erik,Ask,Daniel,Ask,Male,D. Ask,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1998-12-20,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,18.0,2024-01-01Z,2024-07-02Z,active,no,NaN,NaN,NaN,NaN
1qyvk3eveiz8n40houjgtko9h,Daniel Fredrik,Granli,Daniel,Granli,Male,D. Granli,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1994-05-01,Norway,7f16iy4w8u8ogyn6pfooqwv5z,188.0,78.0,right,5.0,2021-01-06Z,2023-08-14Z,active,no,NaN,Sandvika,NaN,NaN
1xqap7xy7hm8exzl56ak0xhck,Max,Vartuli,Max,Vartuli,Male,M. Vartuli,Australia,u5ieemi69z72c3bgczyy68lo,Goalkeeper,player,2005-01-20,Australia,u5ieemi69z72c3bgczyy68lo,192.0,NaN,left,40.0,2023-07-03Z,2024-06-30Z,active,no,NaN,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv
2513579m13glsous1p82fbjzd,Andreas,Poulsen,Andreas,Poulsen,Male,A. Poulsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1999-10-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,80.0,left,25.0,2022-07-01Z,2023-08-31Z,active,no,NaN,Ikast,NaN,NaN
3c7oy1stwyquawdfzzom13xn8,Anders Abdull-Gaffar Haidar,Noshe,Anders,Noshe,Male,A. Noshe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-01-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,NaN,right,31.0,2022-02-19Z,2024-06-30Z,active,no,NaN,Aalborg,NaN,NaN
3iwqwfxwk3h00rztyn7xhaw44,Patrick,Aurø Allentoft,NaN,NaN,Male,P. Allentoft,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-04-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,2023-08-14Z,2023-08-16Z,active,no,NaN,NaN,NaN,NaN
3q4tnk1z46lop4rbdpjtfoc2c,Viktor Melker,Widell,Melker,Widell,Male,M. Widell,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2002-04-19,Sweden,1z6l2c33w2kyz9rdefs1d68nb,181.0,69.0,right,8.0,2023-07-18Z,2025-01-31Z,active,no,NaN,NaN,NaN,NaN
3tka46re2gsi9uw7pbxx5m0pg,Bertil Magne,Grønkjær Pedersen,Bertil,Pedersen,Male,B. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2007-07-24,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,NaN,right,50.0,2023-12-01Z,NaN,active,yes,NaN,Aalborg,NaN,NaN
3v40cf58jryvu4l4cxu4w9ht6,Bo Tim Rade Tiger,Prica,Tim,Prica,Male,T. Prica,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-04-23,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,75.0,left,11.0,2023-06-30Z,2024-02-23Z,active,no,NaN,Helsingborg,NaN,NaN
3xvocl5rk3rkgilofj2fplkyy,Menno,van Dam,Menno,van Dam,Male,M. van Dam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1983-06-19,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,NaN,2024-05-27Z,2025-04-21Z,active,no,NaN,NaN,NaN,NaN
41rqawrpfkxlg34pnqnw93xed,Oscar Karl Niclas,Hiljemark,Oscar,Hiljemark,Male,O. Hiljemark,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,coach,1992-06-28,Sweden,1z6l2c33w2kyz9rdefs1d68nb,184.0,77.0,right,NaN,2023-03-21Z,2024-04-16Z,active,no,NaN,Gislaved,NaN,NaN
4dmz3u7j1eoz4ofr1o8tbxedw,Oscar,Nørgaard Meedom,Oscar,Meedom,Male,O. Meedom,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-08-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,2023-08-14Z,2023-08-16Z,active,no,NaN,NaN,NaN,NaN
4nuyjtf63jplthu4uhxlb9yj8,Mathias,Haugaasen,Mathias,Haugaasen,Male,M. Haugaasen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1979-05-24,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,NaN,2024-04-16Z,2024-05-26Z,active,no,NaN,NaN,NaN,NaN
4sgxth7onhb5mu29bgyupby3u,Jubril,Chukwu-Emeka Adedeji,Jubril,Adedeji,Male,J. Adedeji,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,2000-05-25,England,1fk5l4hkqk12i7zske6mcqju6,182.0,72.0,right,7.0,2024-01-01Z,2025-03-27Z,active,no,NaN,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p
5521epytthhw9afm2r3jn3384,Valdemar,Møller Damgaard,Valdemar,Damgaard,Male,V. Møller,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-05-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,62.0,right,49.0,2024-03-29Z,NaN,active,yes,NaN,NaN,NaN,NaN
5lz41celw55rz3zh8pohclw5w,Oliver,Ross,Oliver,Ross,Male,O. Ross,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-10-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,74.0,right,38.0,2021-08-30Z,NaN,active,yes,NaN,Aalborg,NaN,NaN
5sh5t0j4c7wfs2j4tv4jdg7v9,Josip,Posavec,Josip,Posavec,Male,J. Posavec,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1996-03-10,Croatia,37hlakrwxyuzovaeoo4sezusp,190.0,85.0,right,1.0,2022-07-01Z,2024-06-24Z,active,no,NaN,Varaždin,NaN,NaN
6d05w3h1odtki5z4wqojf6z56,Emmanuel,Toku,Emmanuel,Toku,Male,E. Toku,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2000-07-10,Ghana,2q2sw72utw5gu9t5y4knckwba,173.0,NaN,left,17.0,2023-09-01Z,2024-06-30Z,active,no,NaN,Kumasi,NaN,NaN
6fno1nklmlp93liytohma0mol,Pedro Miguel,Dinis Ferreira,Pedro Miguel,Dinis Ferreira,Male,Pedro Ferreira,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1998-01-05,Portugal,1nbm5i9a0403zzvltn17lxinc,183.0,81.0,right,6.0,2020-08-19Z,2024-01-03Z,active,no,Pedro Ferreira,Marinha Grande,NaN,NaN
6qx1wjqdylhlu307jg285lrrp,Kristoffer,Pallesen,Kristoffer,Pallesen,Male,K. Pallesen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1990-04-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,72.0,right,2.0,2017-07-01Z,2023-10-10Z,retired,no,NaN,Aarhus,NaN,NaN
6v1kpakd3t0jhnoh1eh75ev4k,Kasper,Stie Davidsen,Kasper,Davidsen,Male,K. Davidsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-01-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,67.0,right,48.0,2023-06-15Z,2025-06-08Z,active,no,NaN,NaN,NaN,NaN
7165hb1x2ygl2j5weox7hy6i2,Jeppe,Pedersen,Jeppe,Pedersen,Male,J. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-03-03,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,72.0,right,28.0,2022-07-01Z,2024-01-30Z,active,no,NaN,Hirtshals,NaN,NaN
7qm1t01aezewoeyu1e6lawiz8,Sebastian,Stahlfest,Sebastian,Stahlfest,Male,S. Stahlfest,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-06-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,70.0,right,36.0,2022-09-16Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN
7yst1mucy7jynmpzu1thox2i,Lars,Kramer,Lars,Kramer,Male,L. Kramer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1999-07-11,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,75.0,right,4.0,2022-06-15Z,2025-06-30Z,active,yes,NaN,Zaandam,NaN,NaN
8bfew6mf9m26cj07fq32uf2wa,Richard,Odada,Richard,Odada,Male,R. Odada,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Midfielder,player,2000-11-25,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,190.0,NaN,NaN,16.0,2023-08-15Z,2024-06-30Z,active,no,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0
