playerName,playerId,contestantId,team_name,label,match_id,date,321
A. Tahaui,2o9mor4zf95ey14rkhm6x979w,6hsriqr3ybvyg94w2k19oal50,Vitesse,Vitesse vs Telstar,8ovzspwzlz5rumxy2vs588hec,2024-08-09,0.0590682886540889
A. Thomas,3kw81bjc4y4uqdbmsr77opams,2xlnfgrl6r18ftv38unwp7h4s,PSV II,Utrecht II vs PSV II,8rxse42y82i6pr74myr68ror8,2024-08-16,0.0284556150436401
A. Van Himbeeck,d03x2g68210y8houd0zimecr8,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Cambuur vs Helmond Sport,8spf85titfcgmgxguaykyckr8,2024-08-18,0.0125624937936663
A. Zagré,5wwqe546ohp130rvi8x8pt0tm,dqk062lu0vm8epvytbm6r4mmf,Excelsior,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0
A. van den Hurk,6sl78exosae7emjcq7bl3v2dx,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Helmond Sport vs Utrecht II,8nhnaarec6mve4fzs5b5tn11w,2024-08-09,0.0
A. van der Heide,3epda2hg43s8uxvf9xno74d4a,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0
A. van der Heide,3epda2hg43s8uxvf9xno74d4a,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,Roda JC vs TOP Oss,8sbjhugyt2nbr9y8xeziorc44,2024-08-16,0.0
B. Burgering,d8mcl3tdq404ecif211j7q8ve,eh54mfvjtrttgsg1wbjnvxcqz,Den Bosch,Den Bosch vs AZ II,8rk9ohk0l3mu6pzq998xy23v8,2024-08-16,0.0
B. Burgering,d8mcl3tdq404ecif211j7q8ve,eh54mfvjtrttgsg1wbjnvxcqz,Den Bosch,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.0
B. Koglin,7i9hjqjogg1iowfo4fu5zpcyd,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0268466155976057
B. Ould-Chikh,3dc82sro077by40u3qdmhw0r9,6g9qrm72224jrk6tkxxxi8a9n,Volendam,De Graafschap vs Volendam,8ptsfnk5uhf5vbddqu9i8savo,2024-08-11,0.0214673019945621
B. Ould-Chikh,3dc82sro077by40u3qdmhw0r9,6g9qrm72224jrk6tkxxxi8a9n,Volendam,Volendam vs Emmen,8u7s8agsygp15755d2n3h8qok,2024-08-18,0.0414278805255889
B. Smeets,52ludocji0jek45wo7i1d4hxx,bqm1bnp1bh2apyudlz1o1whr3,MVV,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0
B. Smeets,52ludocji0jek45wo7i1d4hxx,bqm1bnp1bh2apyudlz1o1whr3,MVV,MVV vs Cambuur,8nygtgy2n3ez3akmrw3w4kgt0,2024-08-09,0.0
B. Van Hove,5517jd2zp30rsts1hwz6p71uc,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Helmond Sport vs Utrecht II,8nhnaarec6mve4fzs5b5tn11w,2024-08-09,0.0135158374905586
B. van Schuppen,41es2x265ddlzqjqa6wb9vey2,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.0142494793981313
B. van Schuppen,41es2x265ddlzqjqa6wb9vey2,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Telstar vs Eindhoven,8t31qao3en19q950ey8txspp0,2024-08-16,0.0
C. Driouech,6jhavdnaitqn6ydme8a526aui,2xlnfgrl6r18ftv38unwp7h4s,PSV II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
C. Hatenboer,avyhrrfkeizd3za28ni67x82c,dqk062lu0vm8epvytbm6r4mmf,Excelsior,TOP Oss vs Excelsior,8of7dxucrlz96glvpm5yb5zis,2024-08-09,0.042154774069786
C. Rasmussen,80i3boeh7f1ghu4ka7r66izje,6lzy9iiqoysvtdsgx719fng9n,Ajax II,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0
C. Seedorf,4j7mtyvi7jg9e4ontiyt9vwbu,zjawy6qdzk3y69v5pa3zl2cb,Telstar,Telstar vs Eindhoven,8t31qao3en19q950ey8txspp0,2024-08-16,0.016189893707633
C. Widell,aeqj9ogm0dntus0wl352w9z6y,dqk062lu0vm8epvytbm6r4mmf,Excelsior,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0870721116662025
C. Widell,aeqj9ogm0dntus0wl352w9z6y,dqk062lu0vm8epvytbm6r4mmf,Excelsior,TOP Oss vs Excelsior,8of7dxucrlz96glvpm5yb5zis,2024-08-09,0.0
D. Bakker,4bkb8qjb5n33wxfopju8r1mtx,zjawy6qdzk3y69v5pa3zl2cb,Telstar,Vitesse vs Telstar,8ovzspwzlz5rumxy2vs588hec,2024-08-09,0.0
D. Dorenbosch,1r67co8q0ktlqe5209xm6sxec,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.0
D. Gravenberch,11sxalz1nikiipmp7bxvz33rp,eh54mfvjtrttgsg1wbjnvxcqz,Den Bosch,Den Bosch vs AZ II,8rk9ohk0l3mu6pzq998xy23v8,2024-08-16,0.0
D. Haen,3h7rkufywz6c2aye1l5b0ihp0,z9phg19papi9f5fd6qxzr836,Dordrecht,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0266979616135358
D. Haen,3h7rkufywz6c2aye1l5b0ihp0,z9phg19papi9f5fd6qxzr836,Dordrecht,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0
D. Hoogewerf,6rxsx5xsmtair7mnpf3jvl0tm,6hsriqr3ybvyg94w2k19oal50,Vitesse,VVV vs Vitesse,8tgljvinj0vqzy5rfc4cybvh0,2024-08-16,0.0
D. Konadu,3rve12v22lh39aaqgjlwlmhas,6lzy9iiqoysvtdsgx719fng9n,Ajax II,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.1565329581499099
D. Konadu,3rve12v22lh39aaqgjlwlmhas,6lzy9iiqoysvtdsgx719fng9n,Ajax II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
D. Kuijpers,amkjfdfqnfa3z97whqe7hikno,eh54mfvjtrttgsg1wbjnvxcqz,Den Bosch,Den Bosch vs AZ II,8rk9ohk0l3mu6pzq998xy23v8,2024-08-16,0.9554650783538818
D. Lourens,8r9na8lt57a5cstezn8cghxxw,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,ADO Den Haag vs VVV,8pcqcwkkgcs13r1n8ipu07pqs,2024-08-10,0.0186977330595254
D. Lourens,8r9na8lt57a5cstezn8cghxxw,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0
D. Nunumete,2mfslxxrar9a5fbif0ulk7ze,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0215185601264238
D. Warmerdam,3z9bdfblis9tl3e1uo7e72h62,xcevba75jfkrg4s6tl89zl3y,De Graafschap,De Graafschap vs Volendam,8ptsfnk5uhf5vbddqu9i8savo,2024-08-11,0.0
D. Warmerdam,6my743on19jmzmlq0crx3mq51,dqk062lu0vm8epvytbm6r4mmf,Excelsior,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0214444696903228
D. Zandbergen,3debocz6xsfq8wa6stfo0ld78,z9phg19papi9f5fd6qxzr836,Dordrecht,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0
D. Zandbergen,3debocz6xsfq8wa6stfo0ld78,z9phg19papi9f5fd6qxzr836,Dordrecht,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0132222743704915
D. van Mieghem,1sb4655mgzrdohlltyk9fqlzp,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,ADO Den Haag vs VVV,8pcqcwkkgcs13r1n8ipu07pqs,2024-08-10,0.0
D. van Mieghem,1sb4655mgzrdohlltyk9fqlzp,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.424202412366867
D. van Vianen,20ib1q65ul2h570xl6jpcx1jo,z9phg19papi9f5fd6qxzr836,Dordrecht,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0438040867447853
D. Šits,2760f071guwroy5hy5ttvndas,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Cambuur vs Helmond Sport,8spf85titfcgmgxguaykyckr8,2024-08-18,0.5748260021209717
D. Šits,2760f071guwroy5hy5ttvndas,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Helmond Sport vs Utrecht II,8nhnaarec6mve4fzs5b5tn11w,2024-08-09,0.0
E. Bars,5walk8fkjomtv4a9hpcrn9ul0,2xlnfgrl6r18ftv38unwp7h4s,PSV II,Utrecht II vs PSV II,8rxse42y82i6pr74myr68ror8,2024-08-16,0.118901289999485
E. Cornelisse,eqjelc731e1xrp95bpysx0pka,6hsriqr3ybvyg94w2k19oal50,Vitesse,VVV vs Vitesse,8tgljvinj0vqzy5rfc4cybvh0,2024-08-16,0.0373650975525379
E. Cornelisse,eqjelc731e1xrp95bpysx0pka,6hsriqr3ybvyg94w2k19oal50,Vitesse,Vitesse vs Telstar,8ovzspwzlz5rumxy2vs588hec,2024-08-09,0.0457785613834857
E. Geerts,eukc9fng5jfasmr9i814nq8t0,2xlnfgrl6r18ftv38unwp7h4s,PSV II,Utrecht II vs PSV II,8rxse42y82i6pr74myr68ror8,2024-08-16,0.0117659382522106
E. Peña Zauner,4xe0jo68fvhy9jnp1htp45m2,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,Roda JC vs TOP Oss,8sbjhugyt2nbr9y8xeziorc44,2024-08-16,0.0
E. Rottier,5f8ajd8cgyvmmdzr0lzi1gtii,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.0
E. Rottier,5f8ajd8cgyvmmdzr0lzi1gtii,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Telstar vs Eindhoven,8t31qao3en19q950ey8txspp0,2024-08-16,0.079923927783966
E. Schlichting,62inw8zz8raw527zudb2n8jys,ch82doz9w9t1sw9ae3a4ffh0j,Utrecht II,Helmond Sport vs Utrecht II,8nhnaarec6mve4fzs5b5tn11w,2024-08-09,0.0791132748126983
E. Schlichting,62inw8zz8raw527zudb2n8jys,ch82doz9w9t1sw9ae3a4ffh0j,Utrecht II,Utrecht II vs PSV II,8rxse42y82i6pr74myr68ror8,2024-08-16,0.0
E. Sierra,bmbzc4jvazdiuddsbnceyauei,cv5ftekuejf0ryxvd5h2my47r,VVV,VVV vs Vitesse,8tgljvinj0vqzy5rfc4cybvh0,2024-08-16,0.0
E. van de Blaak,2x0hbry9gpcq5cbujdee5u904,2xlnfgrl6r18ftv38unwp7h4s,PSV II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
F. Evina,el9ylvj60iestpxwpwtgcbco9,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0
F. Evina,el9ylvj60iestpxwpwtgcbco9,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Volendam vs Emmen,8u7s8agsygp15755d2n3h8qok,2024-08-18,0.0
F. Limouri,e0fd13f4bjrv0f3yvqijebh90,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.00711669633165
F. Slegers,o4kr4okiukf3umpmnchnciz8,bqm1bnp1bh2apyudlz1o1whr3,MVV,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0
F. Wagner,d0hdy4qxltsfy99ks2uj9yod1,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0
F. Wagner,d0hdy4qxltsfy99ks2uj9yod1,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Volendam vs Emmen,8u7s8agsygp15755d2n3h8qok,2024-08-18,0.0167021583765745
F. de Bruin,4ouevb38lo7m55o5y77icg5xw,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,ADO Den Haag vs VVV,8pcqcwkkgcs13r1n8ipu07pqs,2024-08-10,0.0594045706093311
F. de Bruin,4ouevb38lo7m55o5y77icg5xw,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0646507740020752
F. de Jong,9v7zwguzazofzafwg3qevdo4q,ears40cp6opsgvhsy0dgyszpd,Cambuur,Cambuur vs Helmond Sport,8spf85titfcgmgxguaykyckr8,2024-08-18,0.0
G. Büttner,7j1zlfmisv1tlxzjxyx1do5ey,xcevba75jfkrg4s6tl89zl3y,De Graafschap,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0
G. Korte,1j33nixshgkkdwjjnuafknahh,dnzj0iv5qtaemm9kthh9pos8q,TOP Oss,TOP Oss vs Excelsior,8of7dxucrlz96glvpm5yb5zis,2024-08-09,0.0885272100567817
G. de Regt,30t0ph1icrggc0x62om801ses,6hsriqr3ybvyg94w2k19oal50,Vitesse,Vitesse vs Telstar,8ovzspwzlz5rumxy2vs588hec,2024-08-09,0.0
G. van Zwam,d4klz2gxqb1diw57z8c9ttixg,6hsriqr3ybvyg94w2k19oal50,Vitesse,Vitesse vs Telstar,8ovzspwzlz5rumxy2vs588hec,2024-08-09,0.0331766419112682
H. Acheffay,3y7w3ngh3kby9mehxe5q7glpl,eh54mfvjtrttgsg1wbjnvxcqz,Den Bosch,Den Bosch vs AZ II,8rk9ohk0l3mu6pzq998xy23v8,2024-08-16,0.0
H. Acheffay,3y7w3ngh3kby9mehxe5q7glpl,eh54mfvjtrttgsg1wbjnvxcqz,Den Bosch,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.0
H. Deenen,ebi648jr4h7usxc63i4ji3k0k,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Eindhoven vs Den Bosch,8mg0ezxgd2h0k8jsg62kfci6s,2024-08-09,0.2059952616691589
H. Deenen,ebi648jr4h7usxc63i4ji3k0k,dvmw7d6jb38qvv7e6ziwu0vyr,Eindhoven,Telstar vs Eindhoven,8t31qao3en19q950ey8txspp0,2024-08-16,0.0
H. Ingason,6o0hhlp0c4m61qdm6bzlm6dxw,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Cambuur vs Helmond Sport,8spf85titfcgmgxguaykyckr8,2024-08-18,0.0483709387481212
H. Veerman,c5jk0pvcvqddy0xiqv6qkesph,6g9qrm72224jrk6tkxxxi8a9n,Volendam,De Graafschap vs Volendam,8ptsfnk5uhf5vbddqu9i8savo,2024-08-11,0.0
H. Veerman,c5jk0pvcvqddy0xiqv6qkesph,6g9qrm72224jrk6tkxxxi8a9n,Volendam,Volendam vs Emmen,8u7s8agsygp15755d2n3h8qok,2024-08-18,0.0
I. Babadi,1jr23fmrmezgiaq7k63pro07o,2xlnfgrl6r18ftv38unwp7h4s,PSV II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.1606974154710769
I. Bronkhorst,cdhqb1a4h246hu0u13pm0tqay,dqk062lu0vm8epvytbm6r4mmf,Excelsior,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0
I. El Kadiri,10ijtddqmzbhx3qtlhbyn4rca,xcevba75jfkrg4s6tl89zl3y,De Graafschap,De Graafschap vs Volendam,8ptsfnk5uhf5vbddqu9i8savo,2024-08-11,0.0
I. El Kadiri,10ijtddqmzbhx3qtlhbyn4rca,xcevba75jfkrg4s6tl89zl3y,De Graafschap,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0
I. Griffith,19wuvqpmewphgvsfzi4yjl756,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.1287474781274795
I. Jenner,5q6qsh7qw0f9y754i3ylqfl04,ch82doz9w9t1sw9ae3a4ffh0j,Utrecht II,Helmond Sport vs Utrecht II,8nhnaarec6mve4fzs5b5tn11w,2024-08-09,0.0161564946174621
I. Yegoian,3hu6e9wa0nt4ekubxye6l4pas,6hsriqr3ybvyg94w2k19oal50,Vitesse,VVV vs Vitesse,8tgljvinj0vqzy5rfc4cybvh0,2024-08-16,0.0334
I. Yegoian,3hu6e9wa0nt4ekubxye6l4pas,6hsriqr3ybvyg94w2k19oal50,Vitesse,Vitesse vs Telstar,8ovzspwzlz5rumxy2vs588hec,2024-08-09,0.0373259112238884
J. Addai,685wka5xc8na423mirotcu238,1wyg1tunyt7go9tnjea1hjqxb,AZ II,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0
J. Armantrading,buhlcdwtnxeiqgy079kas7dw4,dqk062lu0vm8epvytbm6r4mmf,Excelsior,TOP Oss vs Excelsior,8of7dxucrlz96glvpm5yb5zis,2024-08-09,0.0
J. Banel,31v89l4k38v1wpisz7xhkq38,6lzy9iiqoysvtdsgx719fng9n,Ajax II,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0
J. Banel,31v89l4k38v1wpisz7xhkq38,6lzy9iiqoysvtdsgx719fng9n,Ajax II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
J. Bawuah,4i5i204kbg1we22h8cabtb1n8,2xlnfgrl6r18ftv38unwp7h4s,PSV II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0546066388487815
J. Bawuah,4i5i204kbg1we22h8cabtb1n8,2xlnfgrl6r18ftv38unwp7h4s,PSV II,Utrecht II vs PSV II,8rxse42y82i6pr74myr68ror8,2024-08-16,0.0452543720602989
J. Berkhout,eemwn4jyjnm5xkvk7sks9aulm,1wyg1tunyt7go9tnjea1hjqxb,AZ II,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0
J. Brandes,a9gc0gd5320jvh6x3ct7vuvis,6lzy9iiqoysvtdsgx719fng9n,Ajax II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
J. Donkor,4w7a5n358oifbqkyftop0rtka,dqk062lu0vm8epvytbm6r4mmf,Excelsior,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.1495480239391327
J. Donkor,4w7a5n358oifbqkyftop0rtka,dqk062lu0vm8epvytbm6r4mmf,Excelsior,TOP Oss vs Excelsior,8of7dxucrlz96glvpm5yb5zis,2024-08-09,0.0
J. Eijgenraam,9aj2e1c30c8i3h6iff0k4dmac,dqk062lu0vm8epvytbm6r4mmf,Excelsior,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0153536293655633
J. Esajas,35zljca9f38wwue7geei62xw4,1wyg1tunyt7go9tnjea1hjqxb,AZ II,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0582184642553329
J. Faberski,cstlool8c2aoty5vhx77t4q38,6lzy9iiqoysvtdsgx719fng9n,Ajax II,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0342383794486522
J. Faberski,cstlool8c2aoty5vhx77t4q38,6lzy9iiqoysvtdsgx719fng9n,Ajax II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
J. Hardeman,56i6rp74me1bdnqz1hzilzyfo,xcevba75jfkrg4s6tl89zl3y,De Graafschap,De Graafschap vs Volendam,8ptsfnk5uhf5vbddqu9i8savo,2024-08-11,0.0
J. Hardeman,56i6rp74me1bdnqz1hzilzyfo,xcevba75jfkrg4s6tl89zl3y,De Graafschap,Excelsior vs De Graafschap,8r6nmsdoja4kt5w45gajfx2j8,2024-08-16,0.0
J. Hawkins,c82umtdnxng9vgwogrbznr1be,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0
J. Hawkins,c82umtdnxng9vgwogrbznr1be,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Volendam vs Emmen,8u7s8agsygp15755d2n3h8qok,2024-08-18,0.0
J. Hilton,9zttqmllo65i9g7mcbwjb6nai,z9phg19papi9f5fd6qxzr836,Dordrecht,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0
J. Ideho,4ezldqmn62ggasx6pniqbfwno,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,ADO Den Haag vs VVV,8pcqcwkkgcs13r1n8ipu07pqs,2024-08-10,0.0
J. Ideho,4ezldqmn62ggasx6pniqbfwno,e8hiwrw6ocxm5iht6sp7jiv19,ADO Den Haag,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0
J. Kade,6u3xlhiukyu2cicymn8138b1l,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Emmen vs Dordrecht,8n0eazp8qf13r1prtkl4us4yc,2024-08-09,0.0
J. Kade,6u3xlhiukyu2cicymn8138b1l,3t0vjqtxc8wpjzv82i3oi2ova,Emmen,Volendam vs Emmen,8u7s8agsygp15755d2n3h8qok,2024-08-18,0.0
J. Kruiver,88vryegnhss2q5xz8aoj2phey,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0224262829869985
J. Kruiver,88vryegnhss2q5xz8aoj2phey,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,Roda JC vs TOP Oss,8sbjhugyt2nbr9y8xeziorc44,2024-08-16,0.0
J. Kuijpers,7pj4aiaqirhzp8qq0tkr844yc,dnzj0iv5qtaemm9kthh9pos8q,TOP Oss,Roda JC vs TOP Oss,8sbjhugyt2nbr9y8xeziorc44,2024-08-16,0.0270246695727109
J. Mokio,brfa9yhy2llgt9l75unddogk,6lzy9iiqoysvtdsgx719fng9n,Ajax II,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0292594842612743
J. Mokio,brfa9yhy2llgt9l75unddogk,6lzy9iiqoysvtdsgx719fng9n,Ajax II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0321445167064666
J. Mulder,da3d2iu2j4yb7q1ag063mu44q,dnzj0iv5qtaemm9kthh9pos8q,TOP Oss,TOP Oss vs Excelsior,8of7dxucrlz96glvpm5yb5zis,2024-08-09,0.0182764790952205
J. Müller,6crszhqnwr4gto77qbvqvvxii,7rmv5ns2rj7bn4otpkur0mx0x,Roda JC,AZ II vs Roda JC,8qc9drz5a78woc63wnnpxgljo,2024-08-12,0.0
J. Oerip,cuvt8j25577ruyenn33htf1g4,1wyg1tunyt7go9tnjea1hjqxb,AZ II,Den Bosch vs AZ II,8rk9ohk0l3mu6pzq998xy23v8,2024-08-16,0.0244131777435541
J. Pynadath,280wxf8wp6bjwgjwt9fy03nmy,z9phg19papi9f5fd6qxzr836,Dordrecht,Dordrecht vs ADO Den Haag,8tu5wq13y95lb5j1drery934k,2024-08-17,0.0366571620106697
J. Rijkhoff,a63ez4ov40p2xkdsi0otez2s,6lzy9iiqoysvtdsgx719fng9n,Ajax II,Ajax II vs MVV,8ulditrr54jsb9a8mfk9zb8d0,2024-08-19,0.0
J. Rijkhoff,a63ez4ov40p2xkdsi0otez2s,6lzy9iiqoysvtdsgx719fng9n,Ajax II,PSV II vs Ajax II,8qt3h9szn1sjigt6p3g1xhqms,2024-08-12,0.0
J. Scholz,9pjdj1m6y0rb7vdvuz8uen27d,b94pf87be9ojdgnrs5mst80un,Helmond Sport,Cambuur vs Helmond Sport,8spf85titfcgmgxguaykyckr8,2024-08-18,0.016233691945672
